epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,935.414,1.39538,2.45139,1.25353,0.5347,0.53022,0.51523,0.31117,1.32905,1.91939,1.28026,0.000658915,0.000658915,0.000658915
2,1876.15,1.36694,1.72144,1.24323,0.45388,0.53571,0.48127,0.27704,1.43277,1.75352,1.35095,0.00129933,0.00129933,0.00129933
3,2815.76,1.41753,1.71262,1.29646,0.37427,0.49451,0.32465,0.17178,1.48874,2.12423,1.3958,0.00191336,0.00191336,0.00191336
4,3766.01,1.44038,1.79043,1.31785,0.39271,0.5522,0.3893,0.20707,1.49717,2.03842,1.45949,0.0018812,0.0018812,0.0018812
5,4736.57,1.44166,1.74852,1.33533,0.3937,0.50275,0.42022,0.24341,1.42044,1.90651,1.37229,0.0018416,0.0018416,0.0018416
6,5514.71,1.43651,1.75762,1.31958,0.50706,0.53297,0.49995,0.27663,1.42305,1.75459,1.38993,0.001802,0.001802,0.001802
7,6302.28,1.41356,1.68189,1.29033,0.49491,0.52223,0.49997,0.29094,1.37118,1.67777,1.33677,0.0017624,0.0017624,0.0017624
8,7099.81,1.39975,1.62463,1.28949,0.43366,0.53571,0.48267,0.29186,1.33865,1.75072,1.31208,0.0017228,0.0017228,0.0017228
9,7781.12,1.38046,1.6238,1.28284,0.49885,0.54945,0.5166,0.3113,1.36913,1.60865,1.33868,0.0016832,0.0016832,0.0016832
10,8450.29,1.36601,1.62504,1.26919,0.46344,0.58791,0.51886,0.29381,1.40655,1.81604,1.36532,0.0016436,0.0016436,0.0016436
11,9021.64,1.38108,1.59302,1.28415,0.44094,0.57143,0.4849,0.28094,1.38028,1.74406,1.3557,0.001604,0.001604,0.001604
12,9596.2,1.39085,1.58867,1.28161,0.53685,0.56868,0.50981,0.27829,1.43189,1.6531,1.39242,0.0015644,0.0015644,0.0015644
13,10156,1.36474,1.57118,1.26886,0.50922,0.5467,0.53108,0.30865,1.36243,1.66083,1.31806,0.0015248,0.0015248,0.0015248
14,10755.1,1.37704,1.57089,1.2775,0.53366,0.5467,0.53432,0.29768,1.45759,1.63867,1.4126,0.0014852,0.0014852,0.0014852
15,11325.3,1.36446,1.53795,1.261,0.51919,0.54121,0.49283,0.28042,1.43324,1.69185,1.35493,0.0014456,0.0014456,0.0014456
16,11902.5,1.34229,1.44844,1.24161,0.53466,0.56868,0.55439,0.33478,1.36025,1.57843,1.32217,0.001406,0.001406,0.001406
17,12470.7,1.30493,1.46907,1.21495,0.52278,0.64405,0.57838,0.34825,1.32402,1.59891,1.30052,0.0013664,0.0013664,0.0013664
18,13035.9,1.307,1.44036,1.22156,0.5622,0.60989,0.53808,0.31399,1.40953,1.54533,1.34734,0.0013268,0.0013268,0.0013268
19,13605.3,1.29371,1.42608,1.2159,0.49407,0.61264,0.55543,0.32481,1.33501,1.56158,1.31962,0.0012872,0.0012872,0.0012872
20,14177.4,1.30101,1.40391,1.22579,0.51338,0.5522,0.50681,0.31322,1.35759,1.67008,1.31053,0.0012476,0.0012476,0.0012476
21,14809,1.29254,1.42021,1.22006,0.5621,0.6044,0.58422,0.3355,1.38918,1.58097,1.31819,0.001208,0.001208,0.001208
22,15438.3,1.26527,1.3567,1.20356,0.5252,0.58347,0.55033,0.33569,1.30173,1.52298,1.27454,0.0011684,0.0011684,0.0011684
23,16005.4,1.28187,1.39302,1.20855,0.59697,0.51648,0.57935,0.34267,1.34298,1.48535,1.33548,0.0011288,0.0011288,0.0011288
24,16571.8,1.26833,1.36047,1.19446,0.59753,0.55063,0.57478,0.35812,1.31742,1.47789,1.28644,0.0010892,0.0010892,0.0010892
25,17138.7,1.28017,1.31584,1.21265,0.52875,0.55769,0.52718,0.31267,1.37848,1.5502,1.32393,0.0010496,0.0010496,0.0010496
26,17714.2,1.25354,1.31128,1.18236,0.61908,0.54945,0.59466,0.3475,1.35848,1.49482,1.32796,0.00101,0.00101,0.00101
27,18290.1,1.23233,1.32217,1.19375,0.63955,0.55769,0.59247,0.35373,1.31965,1.45109,1.29845,0.0009704,0.0009704,0.0009704
28,18907.5,1.23737,1.2754,1.18405,0.64579,0.58102,0.63845,0.38531,1.31744,1.40038,1.30148,0.0009308,0.0009308,0.0009308
29,19483.6,1.24638,1.25378,1.16946,0.62096,0.61538,0.62159,0.38182,1.34016,1.4346,1.30479,0.0008912,0.0008912,0.0008912
30,20049.7,1.22828,1.26727,1.16881,0.53872,0.59615,0.57074,0.35558,1.31565,1.50745,1.30247,0.0008516,0.0008516,0.0008516
31,20613.8,1.23384,1.22409,1.1776,0.64066,0.58516,0.63498,0.40169,1.28159,1.39969,1.25964,0.000812,0.000812,0.000812
32,21185.4,1.20082,1.22404,1.16657,0.60709,0.58242,0.60618,0.38209,1.30137,1.40245,1.27594,0.0007724,0.0007724,0.0007724
33,21757.5,1.18328,1.17514,1.16056,0.54543,0.67906,0.60591,0.3704,1.29061,1.43098,1.26365,0.0007328,0.0007328,0.0007328
34,22370.4,1.17145,1.18511,1.1421,0.5938,0.70055,0.66605,0.41945,1.30023,1.30471,1.29928,0.0006932,0.0006932,0.0006932
35,22961.9,1.17381,1.20298,1.13734,0.65099,0.63187,0.65309,0.41287,1.29959,1.32308,1.28294,0.0006536,0.0006536,0.0006536
36,23533,1.17536,1.15838,1.14068,0.64025,0.67857,0.65595,0.4206,1.29827,1.27641,1.28178,0.000614,0.000614,0.000614
37,24097.3,1.16026,1.12826,1.13227,0.63048,0.61538,0.6297,0.4024,1.30725,1.34447,1.29859,0.0005744,0.0005744,0.0005744
38,24669.1,1.13205,1.12944,1.12127,0.652,0.63462,0.6431,0.40046,1.29584,1.32639,1.28274,0.0005348,0.0005348,0.0005348
39,25238.9,1.15325,1.13269,1.13922,0.63544,0.62251,0.62221,0.38754,1.30273,1.37061,1.29226,0.0004952,0.0004952,0.0004952
40,25829.3,1.13378,1.1378,1.11872,0.64463,0.6456,0.65862,0.41335,1.25516,1.32573,1.24876,0.0004556,0.0004556,0.0004556
41,26433.5,1.06862,0.98379,1.07769,0.68791,0.65659,0.67492,0.43112,1.24875,1.29969,1.26633,0.000416,0.000416,0.000416
42,26992.5,1.05797,0.96423,1.07362,0.64741,0.64286,0.66336,0.42055,1.27613,1.30826,1.26501,0.0003764,0.0003764,0.0003764
43,27553.4,1.0157,0.90293,1.06824,0.66077,0.6582,0.67836,0.43991,1.25888,1.30545,1.26331,0.0003368,0.0003368,0.0003368
44,28101.3,1.02471,0.91141,1.07228,0.69605,0.63736,0.69357,0.44677,1.25624,1.28586,1.25964,0.0002972,0.0002972,0.0002972
45,28676,1.00213,0.88002,1.0497,0.68531,0.64614,0.69828,0.44565,1.29051,1.28869,1.28152,0.0002576,0.0002576,0.0002576
46,29241.9,1.0193,0.8659,1.05437,0.68153,0.6456,0.68305,0.43669,1.2606,1.28492,1.27117,0.000218,0.000218,0.000218
47,29865.5,0.96117,0.82659,1.02816,0.69023,0.66484,0.69469,0.4446,1.27274,1.26476,1.28713,0.0001784,0.0001784,0.0001784
48,30424.5,0.95194,0.82741,1.01783,0.63529,0.70824,0.69525,0.44163,1.2757,1.26507,1.28197,0.0001388,0.0001388,0.0001388
49,30980.4,0.94726,0.79032,1.01349,0.72433,0.62912,0.70065,0.44953,1.27868,1.25921,1.28195,9.92e-05,9.92e-05,9.92e-05
50,31540.9,0.96511,0.80043,1.03487,0.70993,0.64011,0.7041,0.4506,1.27688,1.24128,1.2801,5.96e-05,5.96e-05,5.96e-05
